Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Video,Title,Sub-Headline,Color,URL,Client,ID-tag
Presentations,presentations,5e1f288e0a7ad1569d995612,5e1f288e0a7ad1d125995695,Tue Dec 31 2019 15:10:47 GMT+0000 (Coordinated Universal Time),Thu Jan 16 2020 02:29:26 GMT+0000 (Coordinated Universal Time),Thu Jan 16 2020 02:33:22 GMT+0000 (Coordinated Universal Time),,,,#9C27B0,http://lydafire.webflow.io/category/presentations,,Presso
Videos,videos,5e1f288e0a7ad1569d995612,5e1f288e0a7ad1c84699569d,Tue Dec 31 2019 15:10:47 GMT+0000 (Coordinated Universal Time),Thu Jan 16 2020 02:29:16 GMT+0000 (Coordinated Universal Time),Thu Jan 16 2020 02:33:22 GMT+0000 (Coordinated Universal Time),,,,#009688,http://lydafire.webflow.io/category/videos,,Video
